Student_ID,Age,Gender,Department,Year_of_Study,CGPA,Attendance_Percentage,Study_Hours_per_Week,Extracurricular_Activities,Part_Time_Job,Satisfaction_Level,Scholarship,Parental_Education_Level,Internet_Access,Family_Income
S0043,26,Female,Biology,Second,2.92,81.13,10,Yes,Yes,Satisfied,Yes,Master's,No,Low
S0044,20,Male,Biology,First,2.84,66.05,24,Yes,Yes,Neutral,Yes,Bachelor's,Yes,Medium
S0045,22,Male,Mathematics,Third,3.46,82.42,8,No,No,Neutral,Yes,PhD,No,Medium
S0046,20,Non-binary,Biology,Third,2.79,75.4,29,No,Yes,Satisfied,No,High School,Yes,Low
S0047,24,Male,Biology,Fourth,2.24,66.65,17,Yes,No,Very Dissatisfied,Yes,Master's,Yes,High
S0048,22,Non-binary,Computer Science,Third,3.09,60.93,16,No,Yes,Very Satisfied,Yes,Master's,No,Medium
S0049,26,Female,Mathematics,Second,2.67,54.05,13,Yes,No,Neutral,No,PhD,Yes,Low
S0050,24,Female,Economics,Fourth,2.42,89.12,7,No,No,Neutral,No,High School,Yes,Low
S0051,19,Male,Biology,Second,3.01,90.95,36,No,No,Dissatisfied,No,Bachelor's,No,Low
S0052,21,Female,Mathematics,Second,2.93,77.07,15,No,No,Satisfied,No,Bachelor's,Yes,Medium
S0053,26,Female,Physics,First,,,9,Yes,No,Neutral,Yes,PhD,No,High
S0054,29,Male,Computer Science,First,3.13,63.18,39,No,No,Dissatisfied,No,Master's,No,High
S0055,19,Female,Economics,First,2.71,97.76,28,No,Yes,Very Satisfied,Yes,Master's,No,High
S0056,27,Male,Computer Science,Third,3.06,61.3,10,Yes,Yes,Satisfied,Yes,PhD,Yes,Low
S0057,26,Non-binary,Computer Science,First,2.71,,22,No,No,Very Satisfied,Yes,PhD,Yes,Medium
S0058,27,Non-binary,Chemistry,Second,3.41,,10,No,Yes,Dissatisfied,Yes,PhD,Yes,High
S0059,22,Non-binary,Mathematics,Fourth,2.99,63.1,26,Yes,Yes,Very Dissatisfied,No,High School,No,High
S0060,19,Male,Physics,Fourth,3.87,97.87,18,No,No,Satisfied,Yes,High School,No,Low
S0061,21,Male,Biology,Second,2.75,78.74,16,No,Yes,Very Dissatisfied,Yes,Bachelor's,No,Medium
S0062,29,Female,Physics,Third,3.18,98.29,29,Yes,Yes,Dissatisfied,No,PhD,No,Low
S0063,29,Female,Mathematics,Fourth,3.56,89.28,24,No,No,Satisfied,Yes,PhD,No,Low
S0064,24,Female,Computer Science,Second,3.27,86.15,22,Yes,Yes,Neutral,No,Master's,No,High
S0065,29,Female,Chemistry,Second,3.07,91.52,28,No,Yes,Dissatisfied,No,Bachelor's,Yes,Medium
S0066,25,Female,Mathematics,Second,,80.24,19,Yes,Yes,Dissatisfied,No,Bachelor's,No,High
S0067,20,Male,Economics,Fourth,3.25,50.56,35,Yes,Yes,Very Satisfied,No,PhD,No,Low
S0068,18,Male,Economics,Fourth,3.15,69.62,5,Yes,Yes,Very Dissatisfied,No,Bachelor's,Yes,High
S0069,21,Non-binary,Mathematics,First,2.99,60.95,19,No,No,Satisfied,Yes,Bachelor's,Yes,Medium
S0070,19,Non-binary,Biology,First,3.37,71.72,38,No,Yes,Satisfied,Yes,Master's,No,Low
S0071,25,Non-binary,Physics,Second,2.96,73.53,6,Yes,No,Neutral,Yes,Bachelor's,No,Low
S0072,21,Non-binary,Physics,Second,2.51,56.39,27,No,No,Satisfied,No,PhD,No,Medium
S0073,19,Male,Biology,Second,4.03,51.17,28,No,No,Neutral,Yes,Master's,Yes,Medium
S0074,23,Male,Chemistry,Second,3.44,56.91,36,No,Yes,Satisfied,Yes,PhD,No,Low
S0075,23,Male,Computer Science,Fourth,2.54,92.87,17,No,No,Very Satisfied,No,Master's,Yes,High
S0076,27,Female,Computer Science,First,2.88,87.79,37,No,Yes,Dissatisfied,No,High School,No,Medium
S0077,21,Female,Economics,Third,2.72,89.94,18,No,No,Satisfied,Yes,PhD,No,Medium
S0078,23,Non-binary,Chemistry,Second,2.75,63.82,21,No,Yes,Dissatisfied,Yes,Bachelor's,No,Medium
S0079,19,Female,Biology,First,3.43,61.8,20,No,Yes,Very Dissatisfied,No,Bachelor's,No,Medium
S0080,27,Male,Mathematics,Second,2.83,51.87,36,Yes,No,Dissatisfied,Yes,Master's,Yes,Low
S0081,29,Non-binary,Physics,Fourth,3.96,73.61,19,No,Yes,Very Dissatisfied,Yes,Bachelor's,Yes,Low
S0082,19,Non-binary,Mathematics,Third,2.12,69.12,35,Yes,No,Satisfied,Yes,Bachelor's,Yes,Medium
S0083,27,Female,Physics,First,2.99,,16,No,No,Very Satisfied,Yes,Bachelor's,Yes,Medium
S0084,21,Non-binary,Mathematics,First,2.33,84.09,37,Yes,No,Very Satisfied,No,High School,Yes,Low
S0085,25,Female,Biology,Third,3.16,57.21,7,Yes,No,Dissatisfied,Yes,PhD,No,Medium
S0086,24,Female,Biology,Fourth,3.22,99.36,15,Yes,No,Very Satisfied,No,Master's,Yes,Medium
S0087,29,Non-binary,Chemistry,Third,3.45,88.53,9,Yes,No,Very Dissatisfied,No,Master's,Yes,High
S0088,26,Female,Mathematics,First,,86.01,31,No,No,Very Satisfied,No,PhD,Yes,Medium
S0089,25,Female,Mathematics,Third,3.22,60.83,20,No,Yes,Very Satisfied,Yes,High School,Yes,Low
S0090,22,Female,Chemistry,Fourth,2.56,95.26,39,No,No,Very Satisfied,Yes,PhD,Yes,Low
S0091,19,Female,Chemistry,Fourth,3.05,,20,Yes,No,Neutral,Yes,Master's,No,Medium
S0092,22,Non-binary,Biology,Second,2.78,64.88,20,Yes,No,Neutral,No,Bachelor's,Yes,Low
S0093,25,Male,Biology,Third,2.37,82.74,26,No,No,Dissatisfied,Yes,Bachelor's,No,Medium
S0094,27,Male,Economics,Third,3.36,60.59,8,Yes,No,Satisfied,No,Bachelor's,Yes,Medium
S0095,26,Female,Mathematics,First,2.87,95.38,36,No,Yes,Satisfied,Yes,High School,No,High
S0096,29,Female,Biology,Fourth,3.43,92.72,31,Yes,No,Very Dissatisfied,No,High School,Yes,Medium
S0097,29,Female,Biology,Third,3.46,73.25,19,Yes,Yes,Very Dissatisfied,No,High School,No,Low
S0098,29,Male,Mathematics,First,3.66,59.53,23,Yes,No,Dissatisfied,No,Bachelor's,No,Medium
S0099,26,Female,Chemistry,Second,2.75,74.83,30,Yes,No,Neutral,No,Master's,No,Medium
S0100,18,Non-binary,Mathematics,Third,2.54,57.46,19,Yes,Yes,Very Satisfied,Yes,High School,No,Low
S0101,26,Non-binary,Computer Science,Third,3.6,,14,No,Yes,Neutral,No,PhD,Yes,High
S0102,24,Non-binary,Mathematics,First,3.05,74.14,38,Yes,No,Neutral,No,Bachelor's,No,Low
S0103,26,Male,Computer Science,First,,51.06,30,Yes,No,Dissatisfied,Yes,Bachelor's,No,High
S0104,25,Female,Mathematics,Fourth,2.41,88.29,12,Yes,Yes,Neutral,No,Bachelor's,Yes,Low
S0105,18,Female,Computer Science,Fourth,3.34,59.85,20,No,No,Satisfied,Yes,Bachelor's,Yes,Medium
S0106,29,Female,Computer Science,Fourth,3.02,93.33,33,No,Yes,Neutral,Yes,Master's,No,Low
S0107,25,Male,Mathematics,Third,,51.11,36,No,No,Satisfied,Yes,Bachelor's,No,High
S0108,25,Male,Economics,First,2.84,76.61,25,Yes,Yes,Very Dissatisfied,Yes,Bachelor's,Yes,High
S0109,28,Male,Biology,Fourth,2.44,88.83,36,No,No,Very Dissatisfied,Yes,Master's,Yes,High
S0110,20,Male,Physics,Third,3.33,61.9,16,Yes,No,Dissatisfied,Yes,PhD,Yes,Medium
S0111,18,Non-binary,Biology,Fourth,2.8,85.38,14,Yes,Yes,Very Satisfied,Yes,PhD,No,Low
S0112,25,Male,Computer Science,Second,3.11,86.04,10,Yes,Yes,Neutral,No,Master's,No,Low
S0113,20,Male,Mathematics,Third,3.97,81.89,22,Yes,No,Very Satisfied,No,Bachelor's,No,Medium
S0114,20,Male,Mathematics,Fourth,2.73,68.21,35,No,Yes,Satisfied,Yes,High School,No,Medium
S0115,18,Female,Mathematics,Fourth,2.85,,39,Yes,No,Very Satisfied,No,High School,Yes,Medium
S0116,28,Female,Mathematics,Second,2.92,81.42,7,Yes,Yes,Neutral,Yes,Bachelor's,Yes,Medium
S0117,22,Female,Economics,Second,2.8,79.52,9,No,Yes,Very Satisfied,Yes,Master's,No,Low
S0118,27,Non-binary,Physics,Fourth,2.82,90.96,38,Yes,No,Very Satisfied,No,Bachelor's,No,Medium
S0119,24,Non-binary,Chemistry,Fourth,3.35,62.23,37,Yes,Yes,Very Satisfied,Yes,Bachelor's,No,Medium
S0120,27,Male,Computer Science,First,3.66,61.62,14,Yes,No,Dissatisfied,Yes,Master's,Yes,Medium
S0121,26,Female,Physics,Fourth,3.06,69.32,7,Yes,No,Very Satisfied,Yes,Master's,Yes,Low
S0122,29,Non-binary,Biology,Fourth,3.37,53.66,15,No,Yes,Neutral,No,High School,Yes,Low
S0123,24,Female,Chemistry,First,2.91,,7,Yes,No,Neutral,No,High School,Yes,Low
S0124,26,Non-binary,Chemistry,First,2.9,70.31,32,Yes,Yes,Very Satisfied,No,Bachelor's,No,Low
S0125,25,Non-binary,Mathematics,Fourth,2.8,74.75,32,No,No,Dissatisfied,Yes,Master's,Yes,Medium
S0126,29,Male,Physics,First,2.62,,13,Yes,Yes,Satisfied,No,PhD,No,Low
S0127,19,Male,Biology,Third,3.62,95.34,30,No,Yes,Very Satisfied,Yes,Bachelor's,Yes,Medium
S0128,18,Non-binary,Mathematics,Second,2.75,64.25,33,Yes,Yes,Dissatisfied,No,PhD,No,Medium
S0129,24,Male,Mathematics,Third,,92.58,14,Yes,No,Very Dissatisfied,Yes,Bachelor's,No,Low
S0130,24,Non-binary,Economics,Second,2.58,,31,No,Yes,Neutral,No,Master's,No,Low
S0131,25,Non-binary,Computer Science,Second,3.02,85.91,36,No,Yes,Very Dissatisfied,No,High School,Yes,Medium
S0132,22,Female,Chemistry,Fourth,3.0,55.55,22,No,No,Neutral,No,Bachelor's,No,Medium
S0133,20,Male,Biology,Second,2.59,77.23,22,No,Yes,Satisfied,No,Master's,No,Low
S0134,29,Male,Chemistry,Third,2.83,98.04,26,No,No,Dissatisfied,Yes,High School,No,Low
S0135,25,Male,Physics,Fourth,2.47,83.31,21,Yes,Yes,Satisfied,Yes,High School,No,Medium
S0136,23,Female,Computer Science,First,,91.01,29,Yes,No,Very Dissatisfied,No,Master's,Yes,Medium
S0137,28,Female,Mathematics,Third,,63.05,30,Yes,Yes,Dissatisfied,No,Master's,Yes,Medium
S0138,20,Female,Computer Science,Fourth,2.97,90.01,9,No,No,Very Dissatisfied,No,Master's,Yes,Low
S0139,18,Male,Mathematics,Second,3.33,67.56,13,Yes,Yes,Very Satisfied,Yes,PhD,Yes,Medium
S0140,20,Male,Computer Science,Third,2.99,74.25,28,Yes,Yes,Very Dissatisfied,Yes,PhD,Yes,Medium
S0141,22,Male,Mathematics,Second,2.65,59.4,11,No,Yes,Satisfied,Yes,Bachelor's,Yes,Medium
S0142,20,Female,Chemistry,Fourth,2.68,74.28,24,Yes,Yes,Satisfied,Yes,Bachelor's,Yes,Medium
S0143,18,Female,Chemistry,Fourth,3.6,75.79,12,Yes,Yes,Very Satisfied,Yes,Master's,Yes,High
S0144,22,Non-binary,Chemistry,First,3.08,81.12,23,Yes,No,Dissatisfied,Yes,Bachelor's,Yes,Medium
S0145,27,Female,Chemistry,First,3.42,93.43,39,No,No,Very Dissatisfied,Yes,Bachelor's,No,Medium
S0146,24,Non-binary,Computer Science,Third,3.47,65.24,29,No,No,Very Dissatisfied,No,PhD,Yes,High
S0147,24,Male,Mathematics,First,2.78,,21,Yes,Yes,Very Dissatisfied,No,Master's,No,Medium
S0148,28,Female,Chemistry,Second,2.5,,29,No,No,Dissatisfied,Yes,Bachelor's,Yes,Low
S0149,26,Male,Computer Science,Second,3.32,,39,Yes,No,Satisfied,No,Master's,No,Medium
S0150,27,Male,Mathematics,First,2.57,61.33,6,No,No,Very Satisfied,Yes,Bachelor's,Yes,Medium
S0151,27,Male,Computer Science,First,2.7,53.57,20,No,Yes,Dissatisfied,Yes,PhD,Yes,High
S0152,29,Male,Economics,First,3.05,,18,Yes,No,Very Satisfied,Yes,Master's,Yes,Medium
S0153,20,Female,Chemistry,Third,2.87,94.23,33,Yes,No,Neutral,No,Bachelor's,No,Low
S0154,24,Male,Physics,Third,1.84,64.6,6,No,No,Very Satisfied,Yes,High School,Yes,High
S0155,18,Non-binary,Computer Science,Second,2.38,56.9,14,No,Yes,Neutral,Yes,PhD,No,High
S0156,21,Female,Chemistry,Third,3.5,51.13,6,Yes,Yes,Very Satisfied,Yes,High School,No,High
S0157,21,Male,Biology,Third,2.96,64.88,31,Yes,No,Neutral,Yes,Master's,No,Low
S0158,22,Female,Mathematics,Fourth,3.37,60.81,17,Yes,No,Very Dissatisfied,No,PhD,Yes,Low
S0159,24,Non-binary,Economics,Second,,,6,No,No,Dissatisfied,No,PhD,Yes,High
S0160,24,Male,Chemistry,Second,2.44,97.55,18,Yes,Yes,Very Dissatisfied,No,Bachelor's,Yes,Medium
S0161,28,Non-binary,Biology,First,,63.38,21,No,Yes,Satisfied,No,Master's,No,High
S0162,21,Male,Computer Science,Fourth,3.65,50.31,38,No,Yes,Dissatisfied,No,High School,Yes,Low
S0163,24,Non-binary,Computer Science,First,2.56,97.21,33,Yes,No,Very Dissatisfied,Yes,High School,No,Medium
S0164,28,Male,Biology,Third,3.51,,27,No,Yes,Very Satisfied,No,High School,Yes,Medium
S0165,20,Female,Economics,Second,2.51,,27,No,Yes,Dissatisfied,No,PhD,Yes,Medium
S0166,23,Male,Biology,Third,2.18,51.57,20,No,Yes,Very Satisfied,No,High School,No,Medium
S0167,29,Female,Mathematics,Third,3.29,55.39,11,Yes,No,Very Dissatisfied,No,PhD,No,Low
S0168,19,Male,Computer Science,Fourth,2.52,79.57,5,No,Yes,Dissatisfied,No,High School,Yes,Low
S0169,27,Male,Biology,Fourth,2.39,53.09,23,Yes,No,Very Dissatisfied,No,Bachelor's,Yes,High
S0170,26,Non-binary,Physics,Second,,78.41,37,No,No,Satisfied,Yes,Master's,Yes,High
S0171,22,Non-binary,Physics,Second,2.83,82.63,38,No,Yes,Very Dissatisfied,No,Master's,No,Low
S0172,23,Non-binary,Biology,Fourth,2.15,57.38,5,No,Yes,Satisfied,Yes,Bachelor's,Yes,High
S0173,29,Male,Mathematics,Fourth,3.3,74.42,16,Yes,No,Very Dissatisfied,No,Bachelor's,No,Medium
S0174,29,Male,Computer Science,Fourth,3.24,98.19,29,Yes,No,Dissatisfied,Yes,PhD,Yes,Low
S0175,29,Male,Physics,Fourth,3.24,91.82,27,No,Yes,Very Satisfied,Yes,Master's,No,Medium
S0176,29,Female,Biology,Second,,86.17,29,No,Yes,Dissatisfied,Yes,High School,Yes,Medium
S0177,21,Female,Biology,Second,3.49,75.89,35,No,No,Very Dissatisfied,No,Bachelor's,No,Medium
S0178,28,Male,Chemistry,Third,2.55,69.71,28,No,Yes,Very Dissatisfied,Yes,Bachelor's,No,Medium
S0179,27,Non-binary,Biology,Third,,72.57,14,Yes,No,Very Dissatisfied,No,PhD,No,High
S0180,24,Non-binary,Mathematics,Third,,88.23,6,No,No,Neutral,Yes,PhD,Yes,High
S0181,29,Non-binary,Physics,Second,3.41,77.71,37,No,No,Satisfied,Yes,Master's,No,Medium
S0182,26,Male,Chemistry,First,3.44,88.23,27,Yes,Yes,Very Satisfied,No,High School,No,Low
S0183,24,Non-binary,Physics,Third,2.92,98.49,6,No,Yes,Satisfied,Yes,Bachelor's,No,Medium
S0184,18,Male,Physics,First,2.68,82.03,8,No,No,Very Dissatisfied,No,Bachelor's,Yes,Low
S0185,18,Female,Mathematics,First,2.88,,27,Yes,No,Very Dissatisfied,Yes,PhD,No,Low
S0186,26,Non-binary,Biology,First,2.65,70.31,27,No,Yes,Satisfied,No,High School,No,High
S0187,28,Female,Mathematics,Fourth,3.5,59.84,16,No,No,Satisfied,Yes,Bachelor's,No,Low
S0188,26,Non-binary,Biology,Second,3.09,68.71,28,Yes,No,Satisfied,Yes,Master's,No,Medium
S0189,21,Male,Chemistry,Second,3.41,,33,No,No,Neutral,Yes,PhD,Yes,Medium
S0190,26,Male,Mathematics,Third,2.28,51.74,32,No,No,Satisfied,Yes,PhD,Yes,Medium
S0191,20,Male,Mathematics,Third,2.78,,19,Yes,Yes,Very Dissatisfied,Yes,Master's,No,Low
S0192,24,Male,Economics,Second,2.49,93.11,14,Yes,No,Very Satisfied,Yes,PhD,Yes,Medium
S0193,23,Non-binary,Computer Science,Fourth,2.19,98.83,38,Yes,Yes,Dissatisfied,Yes,PhD,Yes,High
S0194,25,Female,Mathematics,Second,3.15,92.78,33,No,Yes,Satisfied,Yes,High School,Yes,Medium
S0195,28,Male,Economics,First,2.47,,35,Yes,No,Satisfied,Yes,Master's,No,Medium
S0196,26,Non-binary,Computer Science,Second,2.81,57.75,27,No,No,Satisfied,No,Bachelor's,Yes,Medium
S0197,22,Female,Biology,Fourth,2.51,69.67,22,No,Yes,Very Satisfied,No,PhD,No,Low
S0198,18,Male,Biology,Second,2.8,61.27,11,Yes,Yes,Satisfied,No,Master's,Yes,High
S0199,20,Female,Biology,Second,3.29,83.8,31,Yes,No,Satisfied,Yes,High School,Yes,Medium
S0200,27,Male,Economics,Second,2.52,,13,Yes,No,Satisfied,Yes,Master's,No,Low
S0201,29,Female,Economics,First,,72.19,24,Yes,No,Very Satisfied,Yes,Bachelor's,Yes,Low
S0202,25,Female,Computer Science,Third,3.26,64.02,25,No,No,Dissatisfied,No,Bachelor's,No,Low
S0203,28,Male,Biology,Fourth,3.34,79.77,32,No,Yes,Very Dissatisfied,No,PhD,Yes,Medium
S0204,23,Non-binary,Physics,First,2.8,89.85,7,No,Yes,Very Satisfied,No,Master's,Yes,High
S0205,25,Female,Mathematics,Second,3.15,96.18,14,Yes,Yes,Satisfied,Yes,PhD,Yes,Low
S0206,26,Male,Economics,Second,3.41,98.19,21,Yes,No,Neutral,Yes,High School,No,Medium
S0207,21,Female,Economics,Third,2.47,67.56,39,No,Yes,Very Satisfied,Yes,High School,No,High
S0208,18,Female,Economics,Third,2.64,92.79,25,Yes,Yes,Satisfied,No,PhD,No,Medium
S0209,18,Non-binary,Computer Science,Third,2.81,79.6,13,No,No,Satisfied,No,Master's,Yes,Low
S0210,27,Female,Biology,First,,84.61,21,Yes,Yes,Very Dissatisfied,No,High School,No,High
S0211,21,Female,Physics,Fourth,3.09,92.56,36,Yes,Yes,Very Satisfied,No,Bachelor's,No,Low
S0212,29,Male,Mathematics,Third,3.03,56.51,32,Yes,No,Very Satisfied,Yes,PhD,No,Medium
S0213,24,Male,Mathematics,Second,2.49,97.37,22,Yes,Yes,Very Dissatisfied,Yes,High School,Yes,Medium
S0214,19,Non-binary,Biology,Fourth,3.44,77.37,10,No,Yes,Neutral,Yes,Master's,Yes,Medium
S0215,20,Female,Physics,Second,2.75,66.8,10,Yes,No,Neutral,No,Bachelor's,Yes,Low
S0216,18,Female,Computer Science,Second,2.87,66.94,21,No,No,Dissatisfied,Yes,PhD,No,High
S0217,22,Female,Economics,Fourth,3.1,,14,Yes,Yes,Dissatisfied,No,Bachelor's,No,Medium
S0218,18,Non-binary,Economics,First,3.99,83.93,6,Yes,No,Very Dissatisfied,No,PhD,No,Low
S0219,25,Female,Biology,Fourth,2.68,86.47,37,No,No,Very Satisfied,No,PhD,No,Medium
S0220,18,Male,Mathematics,Third,2.65,62.65,29,Yes,Yes,Satisfied,Yes,Master's,No,Low
S0221,28,Non-binary,Economics,Fourth,2.81,,5,No,Yes,Neutral,Yes,High School,Yes,Medium
S0222,18,Male,Mathematics,Third,3.58,86.09,20,Yes,Yes,Very Satisfied,Yes,High School,No,Low
S0223,19,Male,Mathematics,Third,3.07,64.92,30,Yes,No,Dissatisfied,Yes,PhD,No,Low
S0224,19,Non-binary,Biology,Fourth,3.19,61.12,16,No,Yes,Neutral,Yes,Bachelor's,No,High
S0225,29,Male,Chemistry,Fourth,3.4,60.73,13,Yes,No,Satisfied,Yes,Bachelor's,No,Low
S0226,23,Female,Chemistry,Third,3.56,57.42,17,No,No,Dissatisfied,Yes,Master's,Yes,Medium
S0227,24,Non-binary,Chemistry,Second,2.67,71.34,11,Yes,No,Satisfied,No,High School,No,Low
S0228,22,Male,Physics,Fourth,3.26,63.05,5,Yes,No,Dissatisfied,Yes,Bachelor's,Yes,Medium
S0229,18,Female,Biology,First,,94.69,35,No,Yes,Satisfied,Yes,High School,Yes,Medium
S0230,18,Female,Mathematics,Third,3.1,,39,No,Yes,Neutral,Yes,Master's,No,Low
S0231,20,Male,Economics,Second,2.59,87.19,28,Yes,No,Very Dissatisfied,Yes,PhD,No,High
S0232,19,Female,Physics,Fourth,2.49,70.18,7,No,No,Satisfied,No,Bachelor's,No,High
S0233,22,Non-binary,Chemistry,Fourth,3.23,80.01,23,Yes,No,Neutral,Yes,Master's,Yes,Medium
S0234,29,Male,Computer Science,Second,2.42,,8,No,No,Very Satisfied,No,High School,Yes,High
S0235,27,Female,Physics,First,2.59,58.37,32,No,No,Very Satisfied,No,High School,Yes,Low
S0236,23,Female,Physics,Third,2.76,,34,Yes,Yes,Dissatisfied,Yes,PhD,No,Medium
S0237,24,Male,Biology,Fourth,3.14,84.18,8,No,Yes,Very Dissatisfied,Yes,PhD,No,Low
S0238,21,Male,Economics,First,3.29,,27,Yes,No,Dissatisfied,Yes,Bachelor's,Yes,High
S0239,24,Male,Physics,Third,2.64,52.87,15,No,Yes,Satisfied,Yes,Bachelor's,Yes,Medium
S0240,28,Male,Economics,First,2.35,72.09,8,Yes,No,Very Dissatisfied,Yes,Master's,Yes,Medium
S0241,25,Non-binary,Biology,Third,3.41,86.9,15,Yes,Yes,Satisfied,No,Bachelor's,No,Low
S0242,28,Male,Computer Science,Third,3.34,88.44,28,Yes,Yes,Neutral,Yes,PhD,Yes,Low
S0243,18,Non-binary,Mathematics,First,3.23,,24,No,No,Very Dissatisfied,Yes,High School,Yes,Medium
S0244,23,Non-binary,Mathematics,Third,3.19,59.96,21,Yes,Yes,Very Satisfied,No,PhD,No,Low
S0245,25,Male,Chemistry,Fourth,2.8,99.28,17,Yes,Yes,Neutral,No,Bachelor's,Yes,Medium
S0246,22,Non-binary,Chemistry,Fourth,2.91,88.16,21,Yes,No,Neutral,No,High School,Yes,High
S0247,21,Male,Computer Science,First,3.04,57.86,19,Yes,Yes,Satisfied,No,PhD,No,High
S0248,19,Male,Mathematics,First,2.58,92.04,8,Yes,No,Dissatisfied,Yes,Bachelor's,Yes,Low
S0249,23,Female,Chemistry,Third,3.19,74.95,22,Yes,No,Satisfied,Yes,PhD,No,Low
S0250,23,Male,Economics,Third,3.06,,13,Yes,No,Neutral,Yes,PhD,Yes,Low
S0251,28,Female,Physics,First,2.93,56.6,7,No,Yes,Very Dissatisfied,Yes,PhD,Yes,Medium
